file_trajectory_index,meta_attempt_id,position_deviation_joint_max_abs,position_deviation_joint_mean_abs,removed_frames_ratio,smoothness_after_acc_max_abs,smoothness_after_acc_mean_abs,smoothness_after_jerk_max_abs,smoothness_after_jerk_mean_abs,smoothness_before_acc_max_abs,smoothness_before_acc_mean_abs,smoothness_before_jerk_max_abs,smoothness_before_jerk_mean_abs,source_after,source_before,trajectory_index
0,38897,0.052976051624177956,0.0034310514024577772,0.0,5.480000000000225,0.12472972775069065,378.9629629630393,1.5276971349857569,3.5705253055112043,0.22377205916366935,35.088912047958196,2.9822463786878535,57-1_smoothed.json,57-1.json,0
0,38889,0.09492683956757884,0.012533131550731415,0.024793388429752067,7.999999999999407,0.09880144668773318,533.3333333332736,1.4061035733259406,3.3716864475241044,0.2449042882697006,49.95705547985979,3.2858931249860843,57-10_smoothed.json,57-10.json,1
0,38890,0.04072229419238932,0.0029061477054308175,0.010416666666666666,2.4888888888886913,0.11711239140375705,112.59259259254637,1.0496879999086957,4.336905011470465,0.19925637777345823,43.34466498973832,2.8380377970474804,57-2_smoothed.json,57-2.json,2
0,38899,0.06177621125148776,0.007417687782272148,0.0,9.951111111111231,0.1711929453262818,663.4074074074099,1.9333439304881623,5.154884562448777,0.27193122517974044,65.5349859561638,3.4307728489316323,57-3_smoothed.json,57-3.json,3
0,38896,0.03660620989648122,0.0029030714765747334,0.0,15.608888888887705,0.11680384087791686,999.999999999943,2.565840042944937,4.633898309741285,0.20392870941510668,58.120277817329544,2.8578493875381175,57-4_smoothed.json,57-4.json,4
0,38898,0.03790232576863095,0.0024928334469179908,0.0,3.084444444444485,0.09722880240646958,205.62962962963064,1.0071284090158152,2.5889557917901502,0.16949203058373583,25.359603890587614,2.18054898414707,57-5_smoothed.json,57-5.json,5
0,38891,0.050234788756299775,0.005919209790705566,0.0,3.9199999999996984,0.1219394181081096,132.14814814822978,1.098266280662952,3.940899234604949,0.24163213297972086,45.43093559734864,2.928215312722058,57-6_smoothed.json,57-6.json,6
0,38894,0.04731496851986505,0.0045945258205948095,0.0,17.555555555557866,0.12162037037037715,1021.037037037387,2.236702272543229,3.4144713184755275,0.18041580112204714,61.68954288921174,2.3274578318352765,57-7_smoothed.json,57-7.json,7
0,38895,0.02260989604610364,0.002686436502312587,0.0,10.764444444444587,0.10220482227194069,717.6296296296332,1.2485389217472282,2.5065495481226647,0.18429485484328811,34.07212507521345,2.2636915052632105,57-8_smoothed.json,57-8.json,8
0,38892,0.2968266783491141,0.005797208269954999,0.0,8.728888888888747,0.11847190123457506,581.9259259259288,1.3806056769060386,3.0873856260472943,0.22919118812781672,43.27931691597419,3.173518417641541,57-9_smoothed.json,57-9.json,9
